nom,id,frequences,status,mode,location
Southern Russian Network Callsigns: N/A Signabroam ID: S6911 / U7032,S6911 / U7032,"Active: 5287, 5363, 5907, 6911, 7032, 7667, 8106, 8514 kHz Inactive: 5436, 6828, 7546, 7649, 8001, 9041 kHz Unknown: 8568, 8666, 9283, 9310 kHz Undirected counterpart station: 6970 kHz",Active,USB,"""Believed"" 69th Communications Hub, Naro-Fominsk, Russia Another location is believed to be in Southern part of Russia"
The Air Horn Callsigns: Neva100 Signabroam ID: S4930,S4930,"4020, 4930",Inactive,USB,"Smolensk, Russia"
The Alarm Callsigns: Kroket21 (DMT Callsign) Signabroam ID: U4770,U4770,4770,Inactive,USB,"Smolensk, Russia"
"The Buzzer Callsigns: Caller: UZB76 Recipient: MDZhB, ZhUOZ, ANVF, VZhTsKh, 217O/2170, VZhCh, A1JZH, LNR4, NZhTI, TOD3 Enigma ID: S28 Signabroam ID: S4625",S4625,"Active: 4625 kHz Inactive: 6998, 9250 kHz CW Frequencies: Day: 5779, 6810, 7490 kHz Night: 4925 kHz (only active during May to August)",Active,USB,"Kerro, Russia"
The D Marker Callsigns: Fazan37 Signabroam ID: S5292,S5292,5292,"Inactive (The station is still active in 2026 but on different uses unrelated to the D marker, for exemple for the air forces etc...)",USB,"Sudak Communications Hub, Agalatovo, Russia"
The Goose Callsigns: Ohvat98 Signabroam ID: S4310,S4310,"3243, 4310",Inactive,USB,"Smolensk, Russia"
"The Pip Callsigns: Kaplya, Dlya, 8S1Shch, Meza07, Nora67, JVB1 Enigma ID: S30 Signabroam ID: S5448",S5448,"Active: 3756, 5448, 4141, 3543 Inactive: 7056, 6451, 3159.5, 3697, 6922, 5864, 3371, 3799, 7126, 6508, 2713, 3186, 6783, 7031, 3274, 2604, 8071, 6522",Active,USB,"Rostov-On-Don, Russia"
The R Marker Callsigns: Plovets41 Signabroam ID: S4325,S4325,4325 kHz,Inactive,USB,"Ekaterinburg, Russia"
The Russian Musical Pip Callsigns: N/A Signabroam ID: U8071,U8071,"Active: 3543, 4141, 6255 kHz Inactive: 4152, 8071 kHz",Active,USB,Russia
The Russian XM Whales Feedback Callsigns: N/A Signabroam ID: U3623,U3623,"3623, 3799, 5173, 5189 kHz",Inactive,USB,Russia
"The Squeaky Wheel Callsigns: Dlya, PMV5, Al'fa45 Enigma ID: S32 Signabroam ID: S3828",S3828,"Active: 3363.5, 5367 Inactive: 3828, 7009, 5473, 4108, 4293",Active,USB,"Rostov-On-Don, Russia"
"The T Marker Callsigns: Osnova48, Ryabina68, Beryova20, K66Z, RHPW Signabroam ID: S4524",S4524,"4524, 4182, 4325",Active,USB,"Near Kirov, Russia"
Topol,,"3950, 4960 kHz",Inactive,USB,"Novorossiysk, Russia"
Torez91 Callsigns: Torez91 Signabroam ID: S4840,S4840,4840 kHz,Inactive,USB,Russia
Unit 31895 Callsigns: Unknown Signabroam ID: U31895,U31895,Unknown,Unknown,USB,"Unit 31895 9th GRU Communication Hub, Russia"
"Unit 32982 Callsigns: КДП, ЗСКП, РСБН, ДПРМ, БПРМ РСП Signabroam ID: U32982",U32982,Unknown,Unknown,USB,"Unit 32982 ""BSiRTO"" Communication Hub (""Central AirField Radio Technical Batalion""), Rostov-on-Don, Russia"
Unit 41516 Callsigns: Unknown Signabroam ID: U41516,U41516,Unknown,Unknown,USB,"Unit 41516 Communication Hub, Russia"
Unit 49383 Callsigns: Unknown Signabroam ID: U49383,U49383,Unknown,Unknown,USB,"Unit 49383 ZA NAVY (""ЗА ВМФ"") Central Communication Hub of Naval Aviation, Russia"
Unit 56653 Callsigns: Unknown Signabroam ID: U56653,U56653,Unknown,Unknown,USB,"Unit 56653 Communication Hub, Russia"
Unit 71380 Callsigns: Unknown Signabroam ID: U71380,U71380,Unknown,Unknown,USB,"Unit 71380 Vladimir Communication Hub, Krasnoarmeyskaya st. 21, Vladimir, Russia"
"Units 52929 Callsigns: Unknown Different Units on 52929 ID: 52929-G, 52929-S, 52929-D Signabroam ID: U52929",U52929,Unknown,Unknown,USB,"Unit 52929-G Communication Node Unit 52929-S ""BBO, ISR, IPR"" HF Combat Support battalion Unit 52929-D ""P-100"" 35th Missile Division Siberia, Russia"
"Vega Callsigns: Vega33, N'ZhJ (НЬЖЙ) Signabroam ID: S5372",S5372,"5372, 4565 (secondary for high priority messages, such as Vozduh and Radiograms messages)",Active,USB,"Rostov-On-Don, Russia"
Vetka31 Callsigns: Vetka31 Signabroam ID: S4476,S4476,4476 kHz,Inactive,USB,Russia
Voice Communication Propagation Test Callsigns: Multiple Signabroam ID: S6981,S6981,"4626.5, 5023.5, 5106, 6800.5, 6981, 7211.5, 7935 kHz",Active,USB,Russia
WEGI Callsigns: WEGI Signabroam ID: MO11,MO11,"4590, 4621 kHz",Unknown,"OOK (1A1), CW",Russia
"XHOP Callsigns: XHOP, And all other callsigns of monolyth stations (S28, S30, S32 etc...) Signabroam ID: MO12",MO12,,Active,"OOK (1A1), CW",Russia
"Zaliv52 Callsigns: Prizma60, Zaliv52 Signabroam ID: S4110",S4110,4110,Active (Occasional),USB,"Moscow, Russia"
cis12,,,,,
s39504960,,,,,
★= Platoon MN - *50=★ (★= Взвод МН - *50=★) Callsigns: Unknown Signabroam ID: U1736,U1736,Unknown,Unknown,USB,Russia
